Year,Incident,HourlyNotionalCost,FinalDescription,Animal,OriginofCall,PropertyType,PropertyCategory,RescueType,Ward,Borough,Street
2020,Special Service,346,CAT TRAPPED IN VOID IN WALL       FOLLOWING EARLIER INCIDENT CAT LOCATION NOW IDENTIFIED,Cat,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,WALL END,NEWHAM,BARKING ROAD
2021,Special Service,346,CAT TRAPPED IN DITCH,Cat,mobile,Animal harm outdoors,Outdoor,below ground,WEST HAMPSTEAD,CAMDEN,SANDWELL CRESCENT
2021,Special Service,346,CAT TRAPPED BETWEEN WALL AND FENCE,Cat,mobile,Private Garden Shed ,Non Residential,below ground,COPERS COPE,BROMLEY,HIGH STREET
2021,Special Service,346,KITTEN FALLEN DOWN INTO BASEMENT BELIEVED TO BE INJURED,Cat,mobile,House - single occupancy ,Dwelling,below ground,QUEEN'S GATE,KENSINGTON AND CHELSEA,KENSINGTON GATE
2021,Special Service,346,CAT TRAPPED UNDER HOUSE,Cat,mobile,House - single occupancy ,Dwelling,below ground,ALEXANDRA,HARINGEY,THE AVENUE
2021,Special Service,346,CAT STUCK IN WALL CAVITY IN BASEMENT,Cat,mobile,House - single occupancy ,Dwelling,below ground,WOODSIDE,HARINGEY,PARK AVENUE
2021,Special Service,346,KITTEN STUCK UNDER FLOORBOARDS,Cat,mobile,House - single occupancy ,Dwelling,below ground,THURLOW PARK,LAMBETH,CROXTED ROAD
2021,Special Service,346,KITTEN BELIEVED TO BE TRAPPED UNDER FLOORBOARDS - FRU REQUESTED WITH SNAKE EYE CAMERA,Cat,mobile,House - single occupancy ,Dwelling,below ground,UPPER EDMONTON,ENFIELD,UPTON ROAD
2021,Special Service,352,Redacted,Cat,mobile,Other outdoor equipment/machinery ,Outdoor Structure,below ground,WHITECHAPEL,TOWER HAMLETS,ROYAL MINT STREET
2021,Special Service,352,KITTEN TRAPPED UNDER BRICKWORK,Cat,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,below ground,KNIGHT'S HILL,LAMBETH,LEIGHAM COURT ROAD
2021,Special Service,352,CAT TRAPPED UNDER FLOOR BOARDS,Cat,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,NORTHOLT WEST END,EALING,WEST END GARDENS
2021,Special Service,352,SMALL ANIMAL RESCUE  CAT TRAPPED BETWEEN WALL AND BASEMENT FLOORBOARDS,Cat,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,below ground,HACKNEY CENTRAL,HACKNEY,BODNEY ROAD
2021,Special Service,352,CAT STUCK IN WALL,Cat,mobile,House - single occupancy ,Dwelling,below ground,WORCESTER PARK,SUTTON,CONRAD DRIVE
2021,Special Service,352,CAT IN PRECARIOUS  POSITION ON ROOF,Cat,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,below ground,HOMERTON,HACKNEY,CHATHAM PLACE
2021,Special Service,352,CAT TRAPPED INSIDE BLOCKED FIRE PLACE,Cat,mobile,Restaurant/cafe,Non Residential,below ground,WEST END,WESTMINSTER,GREAT PORTLAND STREET
2021,Special Service,352,CAT STUCK IN DRAIN   FRU REQUIRED,Cat,mobile,Road surface/pavement ,Outdoor,below ground,BARNHILL,BRENT,KINGS DRIVE
2021,Special Service,352,CAT TRAPPED BETWEEN TWO WALLS,Cat,landline,House - single occupancy ,Dwelling,below ground,ROXBOURNE,HARROW,FIELD END ROAD
2021,Special Service,352,CAT STUCK BETWEEN SHED AND FENCE,Cat,mobile,House - single occupancy ,Dwelling,below ground,KING'S PARK,HACKNEY,WARMINGTON CLOSE
2021,Special Service,352,CAT TRAPPED AND IN DISTRESS IN BASEMENT AREA,Cat,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,below ground,ST. MARGARETS AND NORTH TWICKENHAM,RICHMOND UPON THAMES,ST MARGARETS ROAD
2021,Special Service,352,CAT TRAPPED BEHIND SINK,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,below ground,SANDS END,HAMMERSMITH AND FULHAM,PHILPOT SQUARE
2021,Special Service,352,CAT TRAPPED IN COMMUNAL BIN,Cat,mobile,Common external bin storage area,Outdoor Structure,below ground,FERNDALE,LAMBETH,FELMERSHAM CLOSE
2021,Special Service,352,KITTEN TRAPPED IN VOID UNDER STAIRS,Cat,mobile,House - single occupancy ,Dwelling,below ground,RIVER,BARKING AND DAGENHAM,DOWNING ROAD
2021,Special Service,352,Redacted,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,below ground,ST. KATHARINE'S & WAPPING,TOWER HAMLETS,ST KATHARINES WAY
2021,Special Service,352,KITTEN TRAPPED UNDER KITCHEN CUPBOARD,Cat,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,below ground,LEA BRIDGE,HACKNEY,RIVERSIDE CLOSE
2009,Special Service,255,Redacted,Cat,landline,Tree scrub ,Outdoor,from height,Cray Valley West,Bromley,Tilbury Close
2009,Special Service,255,Redacted,Cat,landline,Tree scrub ,Outdoor,from height,South Richmond,Richmond upon Thames,Church Road
2009,Special Service,255,Redacted,Cat,landline,Tree scrub ,Outdoor,from height,Woodside,Croydon,Belmont Road
2009,Special Service,255,Redacted,Cat,landline,Wasteland ,Outdoor,from height,Telegraph Hill,Lewisham,Bessingham Walk
2009,Special Service,255,Redacted,Cat,mobile,Park ,Outdoor,from height,East Walworth,Southwark,Balfour Street
2009,Special Service,255,Redacted,Cat,mobile,Cycle path/public footpath/bridleway ,Outdoor,from height,Bromley North,Tower Hamlets,Hancock Road
2009,Special Service,255,Redacted,Cat,mobile,House - single occupancy ,Dwelling,from height,Eastbury,Barking and Dagenham,Canonsleigh Road
2009,Special Service,255,Redacted,Cat,landline,Park ,Outdoor,from height,Gooshays,Havering,Swindon Lane
2009,Special Service,255,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,St. Pancras and Somers Town,Camden,Royal College Street
2009,Special Service,255,Redacted,Cat,landline,Tree scrub ,Outdoor,from height,Cann Hall,Waltham Forest,Ferndale Road
2009,Special Service,255,Redacted,Cat,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Penge and Cator,Bromley,Queen Adelaide Road
2009,Special Service,255,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Ickenham,Hillingdon,Long Lane
2009,Special Service,255,Redacted,Cat,landline,Cycle path/public footpath/bridleway ,Outdoor,from height,Gipsy Hill,Lambeth,Gipsy Hill
2009,Special Service,255,Redacted,Cat,mobile,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Heath,Barking and Dagenham,Bradwell Avenue
2009,Special Service,255,Redacted,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Woolwich Common,Greenwich,Nightingale Place
2009,Special Service,255,Redacted,Cat,mobile,House - single occupancy ,Dwelling,from height,Beckton,Newham,Robin Crescent
2009,Special Service,255,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,East Ham North,Newham,Edith Road
2009,Special Service,255,Redacted,Cat,landline,"Nurseries, market garden ",Outdoor,from height,Fairlop,Redbridge,Inverness Drive
2009,Special Service,255,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Canning Town North,Newham,Grange Road
2009,Special Service,255,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Bethnal Green,Tower Hamlets,Tollet Street
2009,Special Service,255,Redacted,Cat,landline,Tree scrub ,Outdoor,from height,Chase,Enfield,Elm Gardens
2009,Special Service,255,Redacted,Cat,landline,Converted Flat/Maisonette - Up to 2 storeys ,Dwelling,from height,St. Leonard's,Lambeth,Lewin Road
2009,Special Service,255,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,South Norwood,Croydon,Farnley Road
2009,Special Service,255,Redacted,Cat,police,Tree scrub ,Outdoor,from height,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,Petersham Road
2009,Special Service,260,Redacted,Cat,landline,Tree scrub ,Outdoor,from height,"Ham, Petersham and Richmond Riverside",Richmond upon Thames,Petersham Road
2009,Special Service,260,Redacted,Cat,mobile,Domestic garden (vegetation not equipment) ,Outdoor,from height,South Croydon,Croydon,St. Peters Road
2009,Special Service,260,Redacted,Cat,landline,Park ,Outdoor,from height,Sutton Central,Sutton,Glena Mount
2009,Special Service,260,Redacted,Cat,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,St. Mary's Park,Wandsworth,Searles Close
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,West Ruislip,Hillingdon,Sharps Lane
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,East Ham North,Newham,Shakespeare Crescent
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Edgware,Barnet,Penshurst Gardens
2009,Special Service,260,Redacted,Cat,landline,Tree scrub ,Outdoor,from height,Custom House,Newham,King George Avenue
2009,Special Service,260,Redacted,Cat,mobile,Bungalow - single occupancy ,Dwelling,from height,Pettits,Havering,Heather Drive
2009,Special Service,260,Redacted,Cat,landline,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,from height,Victoria,Hackney,Victoria Park Road
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,East Ham South,Newham,Monmouth Road
2009,Special Service,260,Redacted,Cat,mobile,Cycle path/public footpath/bridleway ,Outdoor,from height,Ponders End,Enfield,Southfield Road
2009,Special Service,260,Redacted,Cat,mobile,House - single occupancy ,Dwelling,from height,Sutton West,Sutton,Fairholme Road
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Woodside,Croydon,Dundee Road
2009,Special Service,260,Redacted,Cat,mobile,Single shop ,Non Residential,from height,Cathall,Waltham Forest,High Road
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Alexandra,Kingston upon Thames,Greenfield Avenue
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Chislehurst,Bromley,Mead Road
2009,Special Service,260,Redacted,Cat,landline,Woodland/forest - broadleaf/hardwood ,Outdoor,from height,Markhouse,Waltham Forest,Priory Avenue
2009,Special Service,260,Redacted,Cat,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Queen's Gate,Kensington and Chelsea,Palace Gate
2009,Special Service,260,Redacted,Cat,mobile,Domestic garden (vegetation not equipment) ,Outdoor,from height,Alexandra,Haringey,Dukes Avenue
2009,Special Service,260,Redacted,Cat,landline,Bridge,Outdoor Structure,from height,Bow West,Tower Hamlets,Gunmakers Lane
2009,Special Service,260,Redacted,Cat,mobile,Domestic garden (vegetation not equipment) ,Outdoor,from height,Walpole,Ealing,Camborne Avenue
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Merton Park,Merton,Kenley Road
2009,Special Service,260,Redacted,Cat,mobile,Tree scrub ,Outdoor,from height,Enfield Highway,Enfield,The Sunny Road
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Plaistow and Sundridge,Bromley,London Lane
2009,Special Service,260,Redacted,Cat,landline,Woodland/forest - broadleaf/hardwood ,Outdoor,from height,Walpole,Ealing,Camborne Avenue
2009,Special Service,260,Redacted,Cat,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,Plaistow and Sundridge,Bromley,London Lane
2009,Special Service,260,Redacted,Cat,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,North Bermondsey,Southwark,Mill Street
2009,Special Service,260,Redacted,Cat,landline,House - single occupancy ,Dwelling,from height,Waddon,Croydon,Hyrstdene
2009,Special Service,260,Redacted,Cat,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Southgate Green,Enfield,Ulleswater Road
2009,Special Service,260,Redacted,Cat,mobile,Road surface/pavement ,Outdoor,from height,Pembridge,Kensington and Chelsea,Ladbroke Road
2009,Special Service,260,Redacted,Cat,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,West Wickham,Bromley,North Road
2009,Special Service,260,Redacted,Cat,landline,Park ,Outdoor,from height,Crystal Palace & Upper Norwood,Croydon,Glenhurst Rise
2009,Special Service,260,Redacted,Cat,mobile,Pub/wine bar/bar ,Non Residential,from height,Kenley,Croydon,Godstone Road
2009,Special Service,260,Redacted,Cat,mobile,Tree scrub ,Outdoor,from height,Brunswick Park,Barnet,Marshalls Close
2009,Special Service,260,Redacted,Cat,mobile,House - single occupancy ,Dwelling,from height,St. Ann's,Haringey,Roslyn Road
2009,Special Service,260,CAT STUCK UP TREE,Cat,landline,Park ,Outdoor,from height,Seven Sisters,Haringey,Manchester Road
2009,Special Service,260,Redacted,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Spitalfields & Banglatown,Tower Hamlets,Vallance Road
2009,Special Service,260,CAT TRAPPED ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Nunhead & Queen's Road,Southwark,Lanvanor Road
2009,Special Service,260,CAT ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Wandle Valley,Sutton,Corbet Close
2009,Special Service,260,CAT ON WINDOW LEDGE,Cat,landline,House - single occupancy ,Dwelling,from height,King's Park,Hackney,Nye Bevan Estate
2009,Special Service,260,CAT TRAPPED BETWEEN FENCE BEHIND,Cat,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,Bedfont,Hounslow,New Road
2009,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,landline,Tree scrub ,Outdoor,from height,Forest Hill,Lewisham,Sydenham Hill
2009,Special Service,260,DISTRESSED KITTEN STUCK UP TREE,Cat,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,Gospel Oak,Camden,Lawn Road
2009,Special Service,260,INJURED CAT STUCK AT TOP OF TREE,Cat,landline,House - single occupancy ,Dwelling,from height,Middle Park and Sutcliffe,Greenwich,Casterbridge Road
2009,Special Service,260,CAT STUCK IN BUILDING,Cat,landline,House - single occupancy ,Dwelling,from height,East Putney,Wandsworth,Laker Place
2009,Special Service,260,CAT STUCK IN LOFT SPACE,Cat,landline,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Selsdon Vale & Forestdale,Croydon,Pixton Way
2009,Special Service,260,ASSIST RSPCA  GET CAT FROM TREE,Cat,mobile,Tree scrub ,Outdoor,from height,Northfield,Ealing,Creighton Road
2009,Special Service,260,CAT FALLEN DOWN HOLE,Cat,landline,Road surface/pavement ,Outdoor,from height,Bunhill,Islington,Ironmonger Row
2009,Special Service,260,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Nightingale,Wandsworth,Gosberton Road
2009,Special Service,260,CAT TRAPPED IN TREE,Cat,mobile,Tree scrub ,Outdoor,from height,Borough & Bankside,Southwark,Southwark Street
2009,Special Service,260,KITTEN TRAPPED IN GUTTERING ON ROOF,Cat,mobile,House - single occupancy ,Dwelling,from height,Ladywell,Lewisham,Sandrock Road
2009,Special Service,260,CAT TRAPPED IN BARBED WIRE,Cat,mobile,House - single occupancy ,Dwelling,from height,Boleyn,Newham,Hatherley Gardens
2009,Special Service,260,KITTEN IN DISTRESS ON ROOF OF FLATS,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Golborne,Kensington and Chelsea,Manchester Drive
2009,Special Service,260,KITTEN TRAPPED ON ROOF AND IN DISTRESS,Cat,mobile,House - single occupancy ,Dwelling,from height,Crystal Palace,Bromley,Anerley Hill
2009,Special Service,260,CAT TRAPPED ON WINDOW SILL,Cat,mobile,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Golborne,Kensington and Chelsea,Golborne Road
2009,Special Service,260,CAT IN STUCK IN BIN CHUTE,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Clapham Common,Lambeth,Oaklands Estate
2009,Special Service,260,CAT UP TREE,Cat,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,Abbey,Merton,Mill Road
2009,Special Service,260,CAT STUCK ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Coldharbour,Lambeth,Wiltshire Road
2009,Special Service,260,ASSIST RSPCA WITH KITTEN STUCK ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Peckham,Southwark,Cator Street
2009,Special Service,260,SMALL ANIMAL RESCUE,Cat,mobile,Private garage ,Non Residential,from height,Chadwell Heath,Barking and Dagenham,Padnall Road
2009,Special Service,260,WHITE CAT TRAPPED ON TOP OF BUILDING,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,St. Peter's,Tower Hamlets,Coventry Road
2009,Special Service,260,CAT WITH PAW TRAPPED IN TREE,Cat,landline,Tree scrub ,Outdoor,from height,Kenley,Croydon,Valley Road
2009,Special Service,260,CAT STUCK IN CHIMNEY,Cat,landline,House - single occupancy ,Dwelling,from height,Parsloes,Barking and Dagenham,Raydons Road
2009,Special Service,260,CAT TRAPPED IN SHUTTERS,Cat,landline,Single shop ,Non Residential,from height,Mayesbrook,Barking and Dagenham,Gale Street
2009,Special Service,260,KITTENS STUCK IN CHIMNEY,Cat,landline,House - single occupancy ,Dwelling,from height,Goodmayes,Redbridge,Mayfield Road
2009,Special Service,260,RUNNING CALL TO CAT IN DISTRESS,Cat,landline,Tree scrub ,Outdoor,from height,Roxbourne,Harrow,Drinkwater Road
2009,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,mobile,Domestic garden (vegetation not equipment) ,Outdoor,from height,West Finchley,Barnet,Burnbrae Close
2009,Special Service,260,CAT IN DISTRESS STUCK ON WALL,Cat,landline,House - single occupancy ,Dwelling,from height,Harrow Road,Westminster,Fernleigh Close
2009,Special Service,260,CAT UP TREE,Cat,landline,House - single occupancy ,Dwelling,from height,Bexleyheath,Bexley,Lyndhurst Road
2009,Special Service,260,KITTEN TRAPPED IN WALL,Cat,mobile,House - single occupancy ,Dwelling,from height,Green Street West,Newham,Neville Road
2009,Special Service,260,KITTEN TRAPPED IN CHIMNEY,Cat,landline,House - single occupancy ,Dwelling,from height,Edgware,Harrow,Vancouver Road
2009,Special Service,260,CAT TRAPPED IN WINDOW,Cat,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,St. Pancras and Somers Town,Camden,Ampthill Square
2009,Special Service,260,INJURED CAT TRAPPED IN BUILDING,Cat,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Bunhill,Islington,Dufferin Street
2009,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,mobile,Tree scrub ,Outdoor,from height,Ealing Common,Ealing,Almond Avenue
2009,Special Service,260,KITTEN TRAPPED IN WINDOW,Cat,landline,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Bruce Grove,Haringey,Pembury Road
2009,Special Service,260,KITTEN IN DISTRESS ON BALCONY,Cat,landline,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Bow East,Tower Hamlets,Jodrell Road
2009,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,landline,Tree scrub ,Outdoor,from height,Fryent,Brent,Townsend Lane
2009,Special Service,260,Redacted,Cat,landline,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Bow East,Tower Hamlets,Jodrell Road
2009,Special Service,260,INJURED CAT FALLEN ONTO FIRST FLOOR BALCONY,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Caledonian,Islington,Carnoustie Drive
2009,Special Service,260,CAT STUCK ON ROOF FOR TWO DAYS,Cat,mobile,House - single occupancy ,Dwelling,from height,Lea Bridge,Hackney,Inver Close
2009,Special Service,260,SMALL ANIMAL RESCUE - CAT TRAPPED BETWEEN WALLS,Cat,mobile,House - single occupancy ,Dwelling,from height,Selsdon and Ballards,Croydon,Benhurst Gardens
2009,Special Service,260,CAT STUCK ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Southfields,Wandsworth,Longfield Street
2009,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,landline,Other outdoor location ,Outdoor,from height,Earl's Court,Kensington and Chelsea,Warwick Road
2009,Special Service,260,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Blackheath,Lewisham,Oakcroft Road
2009,Special Service,260,CAT STUCK BETWEEN WALLS,Cat,landline,House - single occupancy ,Dwelling,from height,Hillingdon East,Hillingdon,Mint Close
2009,Special Service,260,DISTRESSED CAT STUCK UP TREE,Cat,landline,Heathland ,Outdoor,from height,Bexleyheath,Bexley,Martens Avenue
2009,Special Service,260,CAT TRAPPED ON ROOF,Cat,mobile,House - single occupancy ,Dwelling,from height,South Croydon,Croydon,Mansfield Road
2009,Special Service,260,CAT STUCK UP TREE,Cat,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,Crouch End,Haringey,Clifton Road
2009,Special Service,260,ASSIST RSPCA WITH CAT ON LEDGE,Cat,mobile,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Dwelling,from height,Hornsey,Haringey,Temple Road
2009,Special Service,260,CAT IN TREE,Cat,landline,Tree scrub ,Outdoor,from height,Clissold,Hackney,Clissold Road
2009,Special Service,260,CAT STUCK UP CHIMNEY,Cat,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,from height,Sydenham,Lewisham,Sydenham Road
2009,Special Service,260,THREE KITTENS STUCK UP CHIMNEY,Cat,mobile,Converted Flat/Maisonettes - 3 or more storeys,Dwelling,from height,Maida Vale,Westminster,Randolph Avenue
2009,Special Service,260,TO ASSIST RSPCA WITH CAT ON HOUSE ROOF STUCK BETWEEN CHIMNEY POTS,Cat,landline,House - single occupancy ,Dwelling,from height,Fulwell and Hampton Hill,Richmond upon Thames,Railway Road
2009,Special Service,260,CAT TRAPPED IN DERELICT PUB,Cat,landline,Pub/wine bar/bar ,Non Residential,from height,Abbey,Barking and Dagenham,Ripple Road
2009,Special Service,260,SMALL ANIMAL RESCUE - CAT TRAPPED BY NETTING IN TREE,Cat,mobile,Domestic garden (vegetation not equipment) ,Outdoor,from height,Cantelowes,Camden,Rochester Square
2009,Special Service,260,ASSIST RSPCA WITH CAT ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Coldharbour,Lambeth,Jelf Road
2009,Special Service,260,CAT POSSIBLY WITH FOOT STUCK ON ROOF,Cat,mobile,House - single occupancy ,Dwelling,from height,Brunswick Park,Barnet,Brunswick Crescent
2009,Special Service,260,CAT LOCKED IN AT SCENE OF PREVIOUS FIRE,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Earlsfield,Wandsworth,Willow Tree Close
2009,Special Service,260,CAT STUCK UP TREE,Cat,landline,Woodland/forest - conifers/softwood ,Outdoor,from height,West Hill,Wandsworth,Victoria Drive
2009,Special Service,260,CAT TRAPPED IN LOFT,Cat,mobile,Purpose Built Flats/Maisonettes - 10 or more storeys ,Dwelling,from height,Blackheath Westcombe,Greenwich,Chiswell Square
2009,Special Service,260,RUNNING CALL TO KITTEN TRAPPED ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Hillingdon East,Hillingdon,Richmond Avenue
2009,Special Service,260,ASSIST RSPCA WITH CAT STUCK ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Balham,Wandsworth,Laitwood Road
2009,Special Service,260,Redacted,Cat,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,Golborne,Kensington and Chelsea,St. Ervans Road
2010,Special Service,260,CAT TRAPPED IN TREE,Cat,landline,Other outdoor location ,Outdoor,from height,Thames,Barking and Dagenham,Curzon Crescent
2010,Special Service,260,CAT STUCK IN BARBED WIRE,Cat,mobile,Other outdoor location ,Outdoor,from height,Plumstead,Greenwich,Kentmere Road
2010,Special Service,260,CAT WITH FOOT TRAPPED BETWEEN GRATE AND DOOR,Cat,mobile,House - single occupancy ,Dwelling,from height,Hanworth,Hounslow,Hounslow Road
2010,Special Service,260,CALLED BY RSPCA CAT STUCK IN TREE,Cat,landline,Tree scrub ,Outdoor,from height,West Ham,Newham,Hartland Road
2010,Special Service,260,CAT FALLEN FROM BALCONY,Cat,mobile,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Mile End,Tower Hamlets,Stainsby Road
2010,Special Service,260,CAT UP TREE,Cat,landline,Cemetery ,Outdoor,from height,Stoke Newington,Hackney,Stoke Newington High Street
2010,Special Service,260,CAT STUCK ON ROOF,Cat,landline,Bungalow - single occupancy ,Dwelling,from height,Osterley and Spring Grove,Hounslow,St. Marys Crescent
2010,Special Service,260,CAT STUCK IN TREE,Cat,mobile,Tree scrub ,Outdoor,from height,Garden Suburb,Barnet,Finchley Road
2010,Special Service,260,ASSIST RSPCA WITH CAT STUCK ON TOP OF BUILDING,Cat,landline,Roadside vegetation ,Outdoor,from height,Fortis Green,Haringey,Twyford Avenue
2010,Special Service,260,CAT STUCK UP TREE,Cat,landline,Woodland/forest - broadleaf/hardwood ,Outdoor,from height,Emerson Park,Havering,Ernest Road
2010,Special Service,260,CAT TRAPPED ON ROOF,Cat,landline,Bungalow - single occupancy ,Dwelling,from height,Highlands,Enfield,Linkside Close
2010,Special Service,260,RUNNING CALL TO CAT UP TREE,Cat,landline,House - single occupancy ,Dwelling,from height,Wanstead Park,Redbridge,Belgrave Road
2010,Special Service,260,CAT STUCK IN TREE,Cat,landline,Tree scrub ,Outdoor,from height,Garden Suburb,Barnet,Willifield Way
2010,Special Service,260,CAT STUCK IN ROOF,Cat,mobile,Factory ,Non Residential,from height,Evelyn,Lewisham,Rolt Street
2010,Special Service,260,CAT STUCK UP CHIMNEY,Cat,landline,House - single occupancy ,Dwelling,from height,Ravensbury,Merton,Riverside Drive
2010,Special Service,260,CAT STUCK UP TREE,Cat,landline,Tree scrub ,Outdoor,from height,College,Southwark,Lordship Lane
2010,Special Service,260,CAT STUCK ON HOOK,Cat,landline,Domestic garden (vegetation not equipment) ,Outdoor,from height,London Fields,Hackney,Kingsland Road
2010,Special Service,260,KITTEN STUCK BEHIND BOILER,Cat,landline,House - single occupancy ,Dwelling,from height,Northolt Mandeville,Ealing,Priors Field
2010,Special Service,260,ASSIST RSPCA WITH CAT STUCK UP TREE,Cat,landline,Road surface/pavement ,Outdoor,from height,East Putney,Wandsworth,Strathan Close
2010,Special Service,260,ASSIST RSPCA WITH CAT TRAPPED ON ROOF,Cat,mobile,House - single occupancy ,Dwelling,from height,Ickenham,Hillingdon,Thornhill Road
2010,Special Service,260,ASSIST RSPCA OFFICER WITH CAT UP TREE,Cat,landline,Other outdoor location ,Outdoor,from height,Sidcup,Bexley,Ladbrooke Crescent
2010,Special Service,260,ASSIST RSPCA WITH CAT UP TREE,Cat,landline,Woodland/forest - conifers/softwood ,Outdoor,from height,Tulse Hill,Lambeth,Helix Road
2010,Special Service,260,Redacted,Cat,landline,Other outdoor location ,Outdoor,from height,Waddon,Croydon,Warham Road
2010,Special Service,260,CAT POSSIBLY TRAPPED UP CHIMNEY,Cat,landline,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Dwelling,from height,Southfield,Ealing,Church Path
2010,Special Service,260,ASSIST RSPCA WITH CAT ON ROOF,Cat,landline,House - single occupancy ,Dwelling,from height,Peninsula,Greenwich,Pelton Road
2010,Special Service,260,CAT TRAPPED IN CHIMNEY,Cat,landline,House - single occupancy ,Dwelling,from height,Marlborough,Harrow,Radnor Road
